,marker,resolution,playback_mode,buffer,rsrp,thput
0,120,2,1,4.088871,-108.0,536042.0
1,121,5,1,8.522502000000001,-108.0,533286.0
2,122,5,1,7.5083389999999985,-108.0,541554.0
3,123,5,1,6.498664,-108.0,540176.0
4,124,5,1,12.673445999999998,-108.0,538798.0
5,125,5,1,14.112732999999999,-108.0,602186.0
6,126,5,1,13.10287,-108.0,644904.0
7,127,5,1,12.087404,-108.0,556712.0
8,128,5,1,11.076121,-108.0,560846.0
9,129,5,1,10.062389999999999,-108.0,498836.0
10,130,5,1,14.086747,-108.0,370682.0
11,131,5,1,18.812966000000007,-108.0,501592.0
12,132,5,1,28.50678,-108.0,512616.0
13,133,5,1,27.494909999999997,-108.0,445094.0
14,134,5,1,26.483311999999998,-108.0,534664.0
15,135,5,1,25.46955,-108.0,498836.0
16,136,5,1,24.455906,-108.0,115752.0
17,137,5,1,23.445453,-108.0,231504.0
18,138,5,1,22.434251999999997,-108.0,234260.0
19,139,5,1,21.425401,-106.0,95082.0
20,140,5,1,20.416648,-113.0,468520.0
21,141,5,1,19.405911,-107.0,501592.0
22,142,5,1,18.394424,-111.0,493411.0
23,143,5,1,17.383636,-102.0,305244.0
24,144,6,1,22.128446,-102.0,654550.0
25,145,6,1,21.118896,-111.0,564980.0
26,146,6,1,20.105627,-115.0,642148.0
27,147,6,1,19.09608,-115.0,647660.0
28,148,6,1,18.086143,-106.0,633880.0
29,149,6,1,17.075267999999998,-106.0,662818.0
30,150,6,1,16.064975999999998,-105.5,621478.0
31,151,6,1,23.450448,-104.0,745498.0
32,152,6,1,33.700475,-104.0,653172.0
33,153,6,1,32.68942499999999,-104.0,595296.0
34,154,6,1,57.56574499999999,-104.0,626990.0
35,155,6,1,56.552948,-104.0,642148.0
36,156,6,1,55.546309,-104.0,512616.0
37,157,6,1,54.535203,-104.0,664196.0
38,158,6,1,53.522521,-104.0,515372.0
39,159,6,1,52.51451599999999,-104.0,624234.0
40,160,6,1,51.500977,-104.0,380886.0
41,161,6,1,50.493,-104.0,483678.0
42,162,6,1,49.483634,-104.0,545688.0
43,163,6,1,53.89371200000001,-104.0,580138.0
44,164,6,1,52.88830600000001,-104.0,526396.0
45,165,6,1,51.875567,-104.0,636636.0
46,166,6,1,50.86327000000001,-104.0,602186.0
47,167,6,1,49.849546,-104.0,592540.0
48,168,6,1,51.41065800000001,-104.0,691756.0
49,169,6,1,50.39921800000001,-104.0,591162.0
50,170,6,1,52.15615100000001,-104.0,547066.0
51,171,6,1,51.14322000000001,-104.0,491946.0
52,172,6,1,50.13112600000001,-104.0,501592.0
53,173,6,1,49.12463500000001,-104.0,479544.0
54,174,6,1,53.45450200000001,-106.0,518128.0
55,175,6,1,52.446571,-108.0,618722.0
56,176,6,1,51.43329,-108.0,602186.0
57,177,6,1,50.42022,-108.0,398242.0
58,178,6,1,49.409247,-108.0,515372.0
59,179,6,1,48.399255,-108.0,485614.0
60,180,6,1,47.385574,-108.0,308672.0
61,181,6,1,57.05143399999999,-108.0,515372.0
62,182,6,1,56.039784,-108.0,669708.0
63,183,6,1,55.02958099999999,-108.0,639392.0
64,184,6,1,54.017911,-108.0,709670.0
65,185,6,1,53.007572,-108.0,588406.0
66,186,6,1,51.99707699999999,-108.0,677976.0
67,187,6,1,56.448503,-108.0,504348.0
68,188,6,1,55.440495,-108.0,588406.0
69,189,6,1,59.43283499999998,-108.0,642148.0
70,190,6,1,58.42355599999999,-108.0,501592.0
71,191,6,1,57.41300599999998,-108.0,518128.0
72,192,6,1,56.40219399999998,-108.0,587376.0
73,193,6,1,55.39193799999998,-108.0,655330.0
74,194,6,1,54.37598199999998,-108.0,611437.0
75,195,6,1,53.35176099999998,-108.0,710750.0
76,196,6,1,52.34320699999999,-108.0,585288.0
77,197,6,1,51.33173799999999,-108.0,709126.0
78,198,6,1,50.32542099999999,-108.0,729524.0
79,199,6,1,50.064954,-108.0,559403.0
80,200,6,1,64.53099800000001,-108.0,736443.0
81,201,6,1,63.52003000000001,-108.0,643070.0
82,202,6,1,62.509151,-108.0,727829.0
83,203,6,1,66.84127000000001,-108.0,722762.0
84,204,6,1,65.82899499999999,-108.0,662270.0
85,205,6,1,64.81539400000001,-108.0,614655.0
86,206,6,1,63.80806200000001,-108.0,561155.0
87,207,6,1,62.796222,-108.0,535826.0
88,208,6,1,67.125548,-108.0,629491.0
89,209,6,1,66.11520300000001,-108.0,588218.0
90,210,6,1,65.100341,-108.0,602334.0
