,marker,resolution,playback_mode,buffer,rsrp,thput
0,240,5,1,7.208496,-84.0,68442.0
1,241,5,1,6.1956440000000015,-80.5,32208.0
2,242,6,1,5.182296,-86.0,32208.0
3,243,6,1,4.172092,-95.0,37576.0
4,244,6,1,3.161854,-101.5,41602.0
5,245,6,1,2.147082,-110.0,37576.0
6,246,6,1,1.13983,-97.5,21472.0
7,247,6,1,12.066297000000002,-89.5,36234.0
8,248,6,1,17.33565,-115.0,26840.0
9,249,6,1,29.643245,-123.0,16104.0
10,250,6,1,28.631532,-107.0,24156.0
11,251,6,1,27.619681,-96.5,18788.0
12,252,6,1,27.715923999999998,-97.5,17446.0
13,253,6,1,26.704631,-92.5,16104.0
14,254,6,1,25.690897,-83.0,25498.0
15,255,6,1,24.682269,-90.0,20130.0
16,256,6,1,23.672922,-99.5,24156.0
17,257,6,1,22.660541,-91.0,24156.0
18,258,6,1,32.327838,-86.0,24156.0
19,259,6,1,31.313996000000003,-93.5,40260.0
20,260,6,1,30.302764,-100.5,40260.0
21,261,6,1,29.289914000000003,-101.0,24156.0
22,262,6,1,28.278371000000003,-104.0,22814.0
23,263,6,1,42.61724200000001,-107.5,28182.0
24,264,6,1,41.610101,-99.5,36698.0
25,265,6,1,40.599118,-94.5,34892.0
26,266,6,1,39.585845000000006,-87.5,34892.0
27,267,6,1,38.573244,-87.5,21472.0
28,268,6,1,50.83420200000001,-97.0,21472.0
29,269,6,1,49.820465999999996,-95.5,25498.0
30,270,6,1,48.803713,-93.5,29524.0
31,271,6,1,47.794209,-107.0,25498.0
32,272,6,1,46.78176200000001,-114.5,29524.0
33,273,6,1,47.55655700000001,-111.0,30866.0
34,274,6,1,46.54515000000001,-115.0,33550.0
35,275,6,1,45.53723500000001,-112.5,29524.0
36,276,6,1,54.743201,-97.0,36234.0
37,277,6,1,53.731899,-92.5,37576.0
38,278,6,1,52.72235600000001,-89.5,32208.0
39,279,6,1,51.71072899999999,-83.5,22814.0
40,280,6,1,50.705642,-88.5,34892.0
41,281,6,1,60.45635800000001,-92.0,20130.0
42,282,6,1,59.44844300000001,-93.0,21472.0
43,283,6,1,58.438370000000006,-95.5,30866.0
44,284,6,1,57.42791400000001,-92.5,28182.0
45,285,6,1,63.64849100000001,-83.5,30866.0
46,286,6,1,62.637887000000006,-82.5,29524.0
47,287,6,1,65.07716099999999,-90.5,32208.0
48,288,6,1,64.06329099999999,-93.5,32208.0
49,289,6,1,63.051305000000006,-90.0,38918.0
50,290,6,1,62.043974,-92.0,46970.0
51,291,6,1,61.035852,-96.5,18788.0
52,292,6,1,60.02814,-98.0,42944.0
53,293,6,1,64.353337,-102.0,25498.0
54,294,6,1,63.346435,-110.0,18788.0
55,295,6,1,62.336335,-115.0,26840.0
56,296,6,1,66.790155,-111.5,28182.0
57,297,6,1,65.78179200000001,-106.0,32208.0
58,298,6,1,64.77207800000001,-103.5,28182.0
59,299,6,1,63.76172700000001,-107.0,33550.0
60,300,6,1,62.753474,-105.0,29524.0
61,301,6,1,66.75056599999999,-92.0,37576.0
62,302,6,1,65.73798099999999,-86.5,42944.0
