,marker,resolution,playback_mode,buffer,rsrp,thput
0,126,3,1,3.489498,-111.0,126308.0
1,127,3,1,9.550458,-111.0,62460.0
2,128,3,1,8.538936999999999,-111.0,52744.0
3,129,3,1,7.528929999999999,-111.0,91608.0
4,130,3,1,7.639556,-111.0,112428.0
5,131,3,1,6.6257470000000005,-111.0,20820.0
6,132,3,1,9.558049,-111.0,113816.0
7,133,2,1,11.53325,-111.0,99936.0
8,134,2,1,10.522003,-111.0,74952.0
9,135,2,1,10.288060000000002,-111.0,56908.0
10,136,2,1,9.278681,-111.0,63848.0
11,137,4,1,13.608757,-111.0,98548.0
12,138,4,1,12.593797,-111.0,68012.0
13,139,4,1,11.579286000000002,-111.0,80504.0
14,140,4,1,10.568982000000002,-111.0,91608.0
15,141,4,1,9.559130999999999,-111.0,63848.0
16,142,4,1,8.547815,-111.0,83280.0
17,143,4,1,7.5380449999999986,-111.0,74952.0
18,144,4,1,9.825,-111.0,65236.0
19,145,4,1,13.355157999999996,-111.0,81892.0
20,146,4,1,18.68788,-111.0,59684.0
21,147,4,1,17.67509,-111.0,58296.0
22,148,4,1,17.849881,-111.0,98548.0
23,149,4,1,16.841221,-111.0,79116.0
24,150,4,1,15.829568000000002,-111.0,77728.0
25,151,4,1,14.821085,-111.0,61072.0
26,152,4,1,19.1456,-111.0,55520.0
27,153,4,1,18.134713,-111.0,88832.0
28,154,4,1,21.079364,-111.0,91608.0
29,155,4,1,20.068641,-111.0,61072.0
30,156,4,1,19.056866,-111.0,86056.0
31,157,4,1,18.047735,-111.0,92996.0
32,158,4,1,18.418628,-111.0,72176.0
33,159,4,1,17.408040999999994,-111.0,69400.0
34,160,4,1,16.394331,-111.0,90220.0
35,161,4,1,20.72319,-111.0,62460.0
36,162,4,1,24.675227,-111.0,84668.0
37,163,4,1,23.667118,-111.0,76340.0
38,164,4,1,22.65567200000001,-111.0,84668.0
39,165,4,1,21.640991,-111.0,74952.0
40,166,4,1,20.634493,-111.0,69400.0
41,167,4,1,19.626282000000003,-111.0,77728.0
42,168,4,1,18.616391,-111.0,68012.0
43,169,4,1,17.603095000000003,-111.0,49968.0
44,170,4,1,16.591991999999998,-111.0,81892.0
45,171,4,1,15.579653,-111.0,102712.0
46,172,4,1,19.045023,-111.0,83280.0
47,173,4,1,18.032138000000003,-111.0,70788.0
48,174,4,1,25.321748,-111.0,70788.0
49,175,4,1,24.312255,-111.0,73564.0
50,176,4,1,23.300642,-111.0,76340.0
51,177,4,1,34.374751,-111.0,77728.0
52,178,4,1,33.361540000000005,-111.0,79116.0
53,179,4,1,32.353271,-111.0,62460.0
54,180,4,1,31.341475,-111.0,59684.0
55,181,4,1,30.329241,-111.0,99936.0
