,marker,resolution,playback_mode,buffer,rsrp,thput
0,241,5,1,3.24594,-113.0,1284296.0
1,242,5,1,2.237373,-113.0,1919554.0
2,243,6,1,1.229167,-113.0,1878214.0
3,244,6,1,0.22126899999999994,-113.0,1256350.0
4,245,6,3,0.08520400000000006,-113.0,1739036.0
5,246,6,3,0.08520400000000006,-113.0,1858946.0
6,247,6,3,0.08520400000000006,-113.0,826390.0
7,248,6,3,0.08520400000000006,-113.0,646282.0
8,249,6,3,0.08520400000000006,-113.0,916370.0
9,250,6,3,0.08520400000000006,-113.0,1371110.0
10,251,6,1,7.834189999999999,-113.0,1805180.0
11,252,6,1,18.586472,-113.0,531522.0
12,253,6,1,23.156151,-113.0,722072.0
13,254,6,1,22.535332,-113.0,1007318.0
14,255,6,1,21.524233,-113.0,1462058.0
15,256,6,1,20.513144,-113.0,1746894.0
16,257,6,1,19.507106,-113.0,971514.0
17,258,6,1,18.497181,-113.0,1852032.0
18,259,6,1,17.488767000000006,-113.0,2153814.0
19,260,6,1,16.477794,-113.0,800232.0
20,261,6,1,15.468507999999998,-113.0,1646710.0
21,262,6,1,14.458165,-113.0,1876836.0
22,263,6,1,13.451927,-113.0,1279776.0
23,264,6,1,12.442084,-113.0,1197482.0
24,265,6,1,21.104012,-113.0,1774864.0
25,266,6,1,20.096035,-113.0,1915420.0
26,267,6,1,20.093526999999998,-113.0,1049974.0
27,268,6,1,19.084131,-113.0,1915420.0
28,269,6,1,18.0755,-113.0,1865812.0
29,270,6,1,17.069075,-113.0,804042.0
30,271,6,1,16.062263,-113.0,563602.0
31,272,6,1,15.051792000000004,-113.0,864006.0
32,273,6,1,19.381107999999998,-113.0,1269138.0
33,274,6,1,18.371885,-113.0,1737658.0
34,275,6,1,17.361648000000002,-113.0,991774.0
35,276,6,1,21.690388000000002,-113.0,1952626.0
36,277,6,1,20.680298999999998,-113.0,1949870.0
37,278,6,1,19.672481,-113.0,1024822.0
38,279,6,1,18.661417,-113.0,1596327.0
39,280,6,1,17.650467000000006,-113.0,1488523.0
40,281,6,1,16.640591999999998,-113.0,1763530.0
41,282,6,1,15.628785999999998,-113.0,2114671.0
42,283,6,1,14.61925,-113.0,1468881.0
43,284,6,1,13.610475,-113.0,2046583.0
44,285,6,1,18.916960000000003,-113.0,1426812.0
45,286,6,1,26.505570000000002,-113.0,1827647.0
46,287,6,1,25.92784400000001,-113.0,2135647.0
47,288,6,1,24.921295,-113.0,1762165.0
48,289,6,1,23.91169000000001,-113.0,1898956.0
49,290,6,1,22.898824000000005,-113.0,1715946.0
50,291,6,1,21.890953000000003,-113.0,1932698.0
51,292,6,1,20.882850000000005,-113.0,1614950.0
52,293,6,1,19.876181000000006,-113.0,1807330.0
53,294,6,1,18.868302000000007,-113.0,1631526.0
54,295,6,1,17.861873000000006,-113.0,1671368.0
55,296,6,1,16.850632000000004,-113.0,1996428.0
56,297,6,1,15.841931000000002,-113.0,1529397.0
57,298,6,1,26.481353000000002,-113.0,2099481.0
58,299,6,1,28.883042000000003,-113.0,1765608.0
59,300,6,1,27.87269500000001,-113.0,1385770.0
60,301,6,1,26.863702000000004,-113.0,1584342.0
61,302,6,1,25.850852000000003,-113.0,2147197.0
62,303,6,1,24.838940000000008,-113.0,2128320.0
63,304,6,1,23.83171300000001,-113.0,1914195.0
64,305,6,1,22.82098800000001,-113.0,1779537.0
65,306,6,1,21.811879000000005,-113.0,1909252.0
66,307,6,1,29.01205400000001,-113.0,2120323.0
67,308,6,1,30.009241999999997,-113.0,1717562.0
