,marker,resolution,playback_mode,buffer,rsrp,thput
0,260,5.0,1,9.558213,-104.0,22208.0
1,261,5.0,1,12.709431,-104.0,217916.0
2,262,5.0,1,11.69755,-104.0,123532.0
3,263,5.0,1,10.688668,-104.0,99936.0
4,264,5.0,1,9.67878,-104.0,81892.0
5,265,5.0,1,8.666214,-104.0,73564.0
6,266,5.0,1,7.6522710000000025,-104.0,63848.0
7,267,5.0,1,12.879691,-104.0,94384.0
8,268,5.0,1,11.869087,-104.0,55520.0
9,269,5.0,1,15.546795000000001,-104.0,77728.0
10,270,5.0,1,14.537069999999998,-104.0,95772.0
11,271,5.0,1,13.514385,-104.0,69400.0
12,272,5.0,1,13.056185000000001,-104.0,72176.0
13,273,5.0,1,16.804138000000002,-104.0,69400.0
14,274,5.0,1,15.793612,-104.0,87444.0
15,275,5.0,1,14.81219,-104.0,72176.0
16,276,5.0,1,13.799057,-104.0,73564.0
17,277,5.0,1,12.787972,-104.0,84668.0
18,278,5.0,1,11.778191,-104.0,63848.0
19,279,5.0,1,16.105520000000002,-104.0,74952.0
20,280,5.0,1,15.096964000000005,-104.0,86056.0
21,281,5.0,1,14.082734000000002,-104.0,63848.0
22,282,5.0,1,13.071374000000002,-104.0,88832.0
23,283,5.0,1,16.693372999999998,-104.0,84668.0
24,284,5.0,1,15.683322999999998,-104.0,69400.0
25,285,5.0,1,15.376523000000002,-104.0,76340.0
26,286,5.0,1,14.364957,-104.0,79116.0
27,287,5.0,1,13.356205,-104.0,69400.0
28,288,5.0,1,12.341801,-104.0,86056.0
29,289,5.0,1,11.330792000000002,-104.0,84668.0
30,290,5.0,1,10.320828000000002,-104.0,72176.0
31,291,5.0,1,9.307279,-104.0,80504.0
32,292,5.0,1,13.63136,-104.0,77728.0
33,293,5.0,1,12.623852000000001,-104.0,55520.0
34,294,5.0,1,15.569303999999995,-104.0,94384.0
35,295,5.0,1,14.558512,-104.0,80504.0
36,296,5.0,1,13.548184,-104.0,69400.0
37,297,5.0,1,13.920616000000004,-104.0,81892.0
38,298,5.0,1,12.908329000000002,-104.0,74952.0
39,299,5.0,1,11.898626,-104.0,80504.0
40,300,5.0,1,10.885629000000002,-104.0,62460.0
41,301,5.0,1,15.212795000000002,-104.0,87444.0
42,302,5.0,1,14.202515999999996,-104.0,62460.0
43,303,5.0,1,16.469594999999998,-104.0,88832.0
