,marker,resolution,playback_mode,buffer,rsrp,thput
0,120,6,1,4.067152,-95.0,125216.0
1,121,6,1,3.0489580000000003,-95.0,123840.0
2,122,6,1,2.038057,-95.0,137600.0
3,123,6,1,4.9848029999999985,-95.0,123840.0
4,124,6,1,9.676146000000001,-95.0,145856.0
5,125,6,1,8.664646999999999,-95.0,232544.0
6,126,6,1,7.65667,-95.0,301344.0
7,127,6,1,6.644906,-95.0,184384.0
8,128,6,1,5.6311529999999985,-95.0,173376.0
9,129,6,1,4.6189849999999995,-95.0,88064.0
10,130,6,1,9.727439,-95.0,134848.0
11,131,6,1,12.149372999999999,-95.0,99072.0
12,132,6,1,11.139165000000002,-95.0,53664.0
13,133,6,1,10.126833999999999,-95.0,71552.0
14,134,6,1,9.113192000000002,-95.0,141728.0
15,135,6,1,8.100626000000002,-95.0,299968.0
16,136,6,1,7.086611000000001,-95.0,253184.0
17,137,6,1,6.075877000000002,-95.0,180256.0
18,138,6,1,5.065862999999999,-95.0,147232.0
19,139,6,1,8.463549,-95.0,166496.0
20,140,6,1,20.437482,-95.0,89440.0
21,141,6,1,19.426712,-95.0,82560.0
22,142,6,1,18.416028,-95.0,119712.0
23,143,6,1,17.404253,-95.0,181632.0
24,144,6,1,16.390325,-95.0,116960.0
25,145,6,1,20.336996000000006,-95.0,105952.0
26,146,6,1,19.324372,-111.0,173376.0
27,147,6,1,18.313011000000003,-111.0,122464.0
28,148,6,1,23.020738,-103.0,210528.0
29,149,6,1,22.01282,-111.0,315104.0
30,150,6,1,21.001794,-111.0,169248.0
31,151,6,1,19.991846,-111.0,103200.0
32,152,6,1,18.980038,-111.0,96320.0
33,153,6,1,17.968982999999994,-111.0,94944.0
34,154,6,1,16.962316,-111.0,72928.0
35,155,6,1,20.428435,-111.0,88064.0
36,156,6,1,29.558720000000008,-111.0,67424.0
37,157,6,1,29.279706000000004,-111.0,70200.0
38,158,6,1,28.26896900000001,-111.0,133792.0
39,159,6,1,27.26043300000001,-111.0,55040.0
40,160,6,1,26.247464,-111.0,26144.0
41,161,6,1,25.233491,-111.0,34720.0
42,162,6,1,24.226444,-111.0,97696.0
43,163,6,1,23.214366000000005,-111.0,167872.0
44,164,6,1,22.202521000000004,-111.0,158240.0
45,165,6,1,34.461774000000005,-112.0,136224.0
46,166,6,1,33.447013000000005,-98.0,90816.0
47,167,6,1,34.22720700000001,-108.0,141728.0
48,168,6,1,33.219803999999996,-109.0,247680.0
49,169,6,1,32.20780300000001,-98.0,315104.0
50,170,6,1,31.195315000000008,-98.0,251808.0
51,171,6,1,30.18707500000001,-103.5,118336.0
52,172,6,1,39.392594,-122.0,67424.0
53,173,6,1,38.386179,-122.0,37152.0
54,174,6,1,37.37393599999999,-122.0,37152.0
55,175,6,1,41.783924000000006,-113.5,93568.0
56,176,6,1,40.776813,-111.5,81184.0
57,177,6,1,39.76835400000001,-103.5,96320.0
58,178,6,1,38.759035,-105.5,107328.0
59,179,6,1,37.74549800000001,-101.5,154112.0
60,180,6,1,38.350354,-105.0,119712.0
61,181,6,1,41.06856500000001,-96.0,121088.0
62,182,6,1,40.057564000000006,-102.0,104576.0
63,183,6,1,39.046708,-111.5,122464.0
64,184,6,1,43.371557,-107.0,56416.0
65,185,6,1,42.361275000000006,-112.0,46784.0
66,186,6,1,41.351913,-108.5,104576.0
67,187,6,1,40.340029,-112.0,90816.0
68,188,6,1,44.665029,-102.5,64672.0
69,189,6,1,43.65624199999999,-112.0,112832.0
70,190,6,1,42.64366500000001,-113.5,344000.0
71,191,6,1,46.970971999999996,-115.0,433440.0
72,192,6,1,45.958563,-112.5,145856.0
73,193,6,1,44.949736,-110.0,104576.0
74,194,6,1,43.93812,-111.0,126592.0
75,195,6,1,48.39364900000001,-109.5,145856.0
76,196,6,1,47.380565,-111.0,151360.0
77,197,6,1,51.37300199999999,-109.0,196768.0
78,198,6,1,50.36483399999999,-110.0,130720.0
79,199,6,1,49.354247999999984,-110.0,96320.0
80,200,6,1,48.33653999999999,-111.5,96320.0
81,201,6,1,47.32947699999998,-105.5,41600.0
82,202,6,1,46.31843299999999,-99.0,12408.0
83,203,6,1,45.306933999999984,-99.0,89440.0
84,204,6,1,44.29775299999999,-99.0,56416.0
85,205,6,1,44.034125,-99.0,93568.0
86,206,6,1,63.026887,-97.0,97696.0
87,207,6,1,62.01589499999999,-98.5,93568.0
88,208,6,1,67.157252,-97.0,148608.0
89,209,6,1,66.14369500000001,-98.5,129344.0
90,210,6,1,65.135302,-98.5,83936.0
91,211,6,1,64.126868,-98.5,45408.0
92,212,6,1,63.11806800000001,-100.5,88064.0
93,213,6,1,62.09752400000001,-102.0,71552.0
94,214,6,1,61.08853600000001,-102.0,38528.0
95,215,6,1,64.793787,-102.0,96320.0
96,216,6,1,63.782462,-102.0,55040.0
97,217,6,1,62.77033100000001,-102.0,88064.0
98,218,6,1,67.06052199999999,-102.0,89440.0
99,219,6,1,66.05121700000001,-102.0,90816.0
100,220,6,1,65.043876,-102.0,127968.0
101,221,6,1,64.03508699999999,-102.0,101824.0
102,222,6,1,63.02753399999999,-102.0,133472.0
103,223,6,1,67.355251,-102.0,159616.0
104,224,6,1,66.34866899999999,-102.0,174752.0
105,225,6,1,65.33918599999998,-102.0,185760.0
106,226,6,1,64.33173299999999,-102.0,165120.0
107,227,6,1,63.318994999999994,-102.0,99072.0
108,228,6,1,67.64610099999999,-102.0,72928.0
109,229,6,1,66.63758599999998,-102.0,39904.0
110,230,6,1,65.62898299999999,-102.0,23392.0
111,231,6,1,64.62197799999998,-102.0,28896.0
112,232,6,1,63.61218499999998,-102.0,244928.0
113,233,6,1,67.94288000000002,-102.0,89440.0
114,234,6,1,66.93365200000001,-102.0,60544.0
115,235,6,1,65.92318000000002,-102.0,35776.0
116,236,6,1,64.91027000000001,-102.0,57792.0
117,237,6,1,63.89701200000002,-102.0,121088.0
118,2,5,1,9.037772,-90.0,134848.0
119,3,6,1,10.724594,-90.0,140352.0
120,4,6,1,9.71645,-90.0,140352.0
121,5,6,1,10.170116,-90.0,167872.0
122,6,6,1,9.160213,-90.0,114208.0
123,7,6,1,8.150758,-90.0,70176.0
124,8,6,1,7.141133,-90.0,93568.0
125,9,6,1,6.130481,-90.0,112832.0
126,10,6,1,5.118036,-90.0,125216.0
127,11,6,1,14.574632000000001,-90.0,132096.0
128,12,6,1,13.561854,-90.0,112832.0
129,13,6,1,12.552693,-90.0,88064.0
130,14,6,1,11.539006,-90.0,111456.0
131,15,6,1,10.532073,-90.0,240800.0
132,16,6,1,9.523141,-90.0,299968.0
133,17,6,1,19.561167,-90.0,123840.0
134,18,6,1,18.551052,-90.0,72928.0
135,19,6,1,17.539006999999998,-90.0,111480.0
136,20,6,1,16.530904999999994,-90.0,81184.0
137,21,6,1,20.948925,-90.0,18208.0
138,22,6,1,19.936605,-90.0,68800.0
139,23,6,1,18.928607,-90.0,64672.0
140,24,6,1,17.920301000000006,-90.0,79808.0
141,25,6,1,22.252172,-90.0,46784.0
142,26,6,1,21.243007,-90.0,63296.0
143,27,6,1,20.233902,-90.0,92192.0
144,28,6,1,23.177494,-90.0,123840.0
145,29,6,1,23.553426,-90.0,50912.0
146,30,6,1,22.541681,-90.0,70176.0
147,31,6,1,21.534669,-90.0,81568.0
148,32,6,1,20.523235,-90.0,108704.0
149,33,6,1,24.851427,-90.0,134848.0
150,34,6,1,28.80671,-90.0,155488.0
151,35,6,1,27.796905,-90.0,89440.0
152,36,6,1,31.83797500000001,-90.0,82560.0
153,37,6,1,30.82651700000001,-90.0,96704.0
154,38,6,1,29.81577200000001,-90.0,115584.0
155,39,6,1,32.075075000000005,-90.0,130720.0
156,40,6,1,31.069346000000003,-90.0,85312.0
157,41,6,1,30.057160000000003,-90.0,82560.0
158,42,6,1,31.115059999999996,-90.0,56416.0
159,43,6,1,30.108627000000002,-90.0,75680.0
160,44,6,1,34.437763000000004,-90.0,82560.0
161,45,6,1,33.431183999999995,-90.0,89440.0
162,46,6,1,36.79963600000001,-90.0,136224.0
163,47,6,1,35.78986700000001,-90.0,126592.0
164,48,6,1,34.77997700000001,-90.0,111456.0
165,49,6,1,38.524136,-90.0,187136.0
166,50,6,1,37.516739,-90.0,156864.0
167,51,6,1,36.506011,-90.0,145856.0
168,52,6,1,40.96086500000001,-90.0,148608.0
169,53,6,1,39.946223,-90.0,239424.0
170,54,6,1,38.93553299999999,-90.0,125216.0
171,55,6,1,37.92903,-90.0,82560.0
172,56,6,1,42.34082000000001,-90.0,133472.0
