,marker,resolution,playback_mode,buffer,rsrp,thput
0,5,6,1,11.977730000000001,-92.0,71552.0
1,6,5,1,19.507576,-92.0,34400.0
2,7,5,1,18.492709,-92.0,15136.0
3,8,5,1,17.482798000000006,-92.0,16512.0
4,9,5,1,16.474217000000003,-92.0,37152.0
5,10,5,1,15.459048,-92.0,37152.0
6,11,5,1,14.446152,-92.0,15136.0
7,12,5,1,13.434884,-92.0,31648.0
8,13,5,1,12.427941,-92.0,30272.0
9,14,5,1,11.414414,-92.0,20640.0
10,15,5,1,19.388005,-92.0,26144.0
11,16,5,1,38.378055,-92.0,20640.0
12,17,5,1,37.363188,-92.0,31648.0
13,18,5,1,36.351988,-92.0,17888.0
14,19,5,1,35.339324,-92.0,23392.0
15,20,5,1,34.327009000000004,-92.0,28896.0
16,21,5,1,40.033988,-92.0,12384.0
17,22,5,1,39.022828999999994,-92.0,20640.0
18,23,5,1,38.010856,-92.0,20640.0
19,24,5,1,36.996078000000004,-92.0,2752.0
20,25,5,1,35.98368100000001,-92.0,0.0
21,26,5,1,34.977145,-92.0,1376.0
22,27,5,1,33.966286999999994,-92.0,0.0
23,28,5,1,32.950912,-92.0,9632.0
24,29,5,1,31.94362000000001,-92.0,22016.0
25,30,5,1,30.93236,-92.0,20640.0
26,31,5,1,29.920458,-92.0,39904.0
27,32,5,1,52.189854,-92.0,28896.0
28,33,5,1,51.17698800000001,-92.0,17888.0
29,34,5,1,50.16847200000001,-92.0,38528.0
30,35,5,1,49.158799,-96.0,16512.0
31,36,5,1,65.57807400000002,-100.0,13760.0
32,37,5,1,64.56730999999999,-100.0,24768.0
33,38,5,1,63.5562,-100.0,41280.0
34,39,5,1,62.54946500000001,-100.0,15136.0
35,40,5,1,66.877352,-100.0,34400.0
36,41,5,1,65.86494300000001,-100.0,13760.0
37,42,5,1,64.855603,-100.0,38528.0
38,43,5,1,63.84204500000001,-100.0,16512.0
39,44,5,1,62.82953000000001,-100.0,9632.0
40,45,5,1,61.816306,-100.0,16512.0
41,46,5,1,60.807559999999995,-100.0,20640.0
42,47,5,1,59.79753300000001,-100.0,27520.0
43,48,5,1,58.788155,-100.0,24768.0
44,49,5,1,57.776881,-100.0,24768.0
45,50,5,1,56.76487600000001,-100.0,30272.0
46,51,5,1,55.75692300000001,-100.0,26144.0
47,52,5,1,54.74575000000001,-100.0,19264.0
48,53,5,1,53.73312500000001,-100.0,30272.0
49,54,5,1,59.952431,-100.0,8256.0
50,55,5,1,58.94226800000001,-100.0,20640.0
51,56,5,1,66.71632399999999,-100.0,30272.0
52,57,5,1,65.705016,-100.0,13760.0
