,marker,resolution,playback_mode,buffer,rsrp,thput
0,121,5,1,3.4325300000000003,-140.0,457496.0
1,122,6,1,2.410993,-113.5,526396.0
2,123,6,1,1.3968559999999999,-127.0,482300.0
3,124,6,1,0.3849680000000002,-114.0,622856.0
4,125,6,3,0.09430300000000004,-114.0,615966.0
5,126,6,3,0.09430300000000004,-127.0,662818.0
6,127,6,3,0.09430300000000004,-114.0,705536.0
7,128,6,3,0.09430300000000004,-114.0,679354.0
8,129,6,3,0.09430300000000004,-114.0,502560.0
9,130,6,1,15.033074,-114.0,383084.0
10,131,6,1,24.062808,-114.0,602186.0
11,132,6,1,23.051461000000003,-114.0,666952.0
12,133,6,1,22.039358,-114.0,650416.0
13,134,6,1,21.026429999999998,-114.0,743226.0
14,135,6,1,20.018845000000002,-114.0,775814.0
15,136,6,1,19.008479,-114.0,720694.0
16,137,6,1,18.023785999999998,-114.0,686728.0
17,138,6,1,17.011395999999998,-113.5,530530.0
18,139,6,1,16.001227,-113.0,596674.0
19,140,6,1,14.989612,-113.0,574626.0
20,141,6,1,13.978608,-113.0,687134.0
21,142,6,1,12.967289999999998,-113.0,686244.0
22,143,6,1,11.956678,-113.0,642148.0
23,144,6,1,19.797656,-113.0,573248.0
24,145,6,1,20.616463,-113.0,536042.0
25,146,6,1,19.608706,-113.0,430014.0
26,147,6,1,18.596104,-113.0,538798.0
27,148,6,1,17.582839,-113.0,581516.0
28,149,6,1,16.573232,-113.0,490568.0
29,150,6,1,20.902796,-113.0,533286.0
30,151,6,1,19.887739000000003,-113.0,567736.0
31,152,6,1,18.880672,-113.0,508482.0
32,153,6,1,23.208632,-113.0,553956.0
33,154,6,1,22.19749,-113.0,606320.0
34,155,6,1,21.188024,-113.0,563602.0
35,156,6,1,20.169038,-113.0,323420.0
36,157,6,1,19.155504,-113.0,789594.0
37,158,6,1,18.142151000000002,-113.0,642148.0
38,159,6,1,17.130434,-113.0,690378.0
39,160,6,1,16.121088999999998,-113.0,765436.0
40,161,6,1,21.98555200000001,-113.0,547066.0
41,162,6,1,29.44339300000001,-113.0,763412.0
42,163,6,1,28.436433,-113.0,640770.0
43,164,6,1,27.42558700000001,-113.0,406832.0
44,165,6,1,26.412817999999998,-113.0,549822.0
45,166,6,1,25.405909,-113.0,778570.0
46,167,6,1,24.392968000000003,-113.0,705536.0
47,168,6,1,23.38705700000001,-113.0,988026.0
48,169,6,1,22.37646800000001,-113.0,927634.0
49,170,6,1,21.365899000000006,-113.0,869518.0
50,171,6,1,20.355833000000004,-113.0,554684.0
51,172,6,1,30.97277500000001,-113.0,682110.0
52,173,6,1,33.39565,-113.0,983892.0
53,174,6,1,32.38666500000001,-113.0,1073462.0
54,175,6,1,31.379338000000004,-113.0,977002.0
55,176,6,1,30.36788000000001,-113.0,895700.0
56,177,6,1,29.357265000000005,-113.0,472244.0
57,178,6,1,28.34864900000001,-113.0,895700.0
58,179,6,1,27.341950000000004,-113.0,804752.0
59,180,6,1,34.542644,-113.0,913614.0
60,181,6,1,33.528662000000004,-113.0,753766.0
61,182,6,1,34.516738999999994,-113.0,755144.0
62,183,6,1,33.507841,-113.0,644904.0
63,184,6,1,32.500539999999994,-113.0,475000.0
64,185,6,1,31.487444,-113.0,804752.0
65,186,6,1,35.90393900000001,-113.0,1072084.0
66,187,6,1,34.895557000000004,-113.0,1025232.0
67,188,6,1,33.88803300000001,-113.0,1033500.0
68,189,6,1,32.8768,-113.0,1098266.0
69,190,6,1,37.209185999999995,-113.0,632416.0
70,191,6,1,36.198493,-113.0,1424852.0
71,192,6,1,35.19303100000001,-113.0,1309100.0
72,193,6,1,34.186053,-113.0,1256736.0
73,194,6,1,38.516323,-113.0,815042.0
74,195,6,1,37.505662,-113.0,1187981.0
75,196,6,1,36.496349,-113.0,1164231.0
76,197,6,1,35.48497399999999,-113.0,1249593.0
77,198,6,1,34.476817,-113.0,738150.0
78,199,6,1,33.464682999999994,-113.0,758632.0
79,200,6,1,32.45232,-113.0,1051974.0
80,201,6,1,42.116738,-113.0,832037.0
81,202,6,1,41.108268,-113.0,1219510.0
82,203,6,1,40.09452,-113.0,1086034.0
83,204,6,1,39.081786,-113.0,1040002.0
84,205,6,1,38.07389499999999,-113.0,894703.0
85,206,6,1,37.064281,-113.0,1290917.0
86,207,6,1,37.27085500000001,-113.0,1118449.0
87,208,6,1,36.259675,-113.0,1018842.0
88,209,6,1,39.49342100000001,-113.0,1180812.0
89,210,6,1,38.48775400000001,-113.0,1143571.0
90,211,6,1,42.48398599999999,-113.0,1228207.0
91,212,6,1,41.476095,-113.0,911976.0
92,213,6,1,40.46530999999999,-113.0,739425.0
93,214,6,1,39.456558999999984,-113.0,1108657.0
94,215,6,1,38.44537999999999,-113.0,765442.0
95,216,6,1,37.435958999999976,-113.0,1011547.0
96,217,6,1,36.42701199999999,-113.0,1350267.0
97,218,6,1,35.41695199999997,-113.0,1259826.0
98,219,6,1,34.40599999999999,-113.0,1190450.0
99,220,6,1,54.14239400000001,-113.0,1310836.0
100,221,6,1,53.13494200000001,-113.0,1335601.0
101,222,6,1,58.280379,-113.0,1308296.0
102,223,6,1,57.270239,-113.0,1011351.0
103,224,6,1,56.261487,-113.0,1150127.0
104,225,6,1,55.248856999999994,-113.0,1101676.0
105,226,6,1,54.243598999999996,-113.0,1014465.0
106,227,6,1,53.234159999999996,-113.0,1371221.0
107,228,6,1,52.220384,-113.0,1174012.0
108,229,6,1,61.22129399999999,-113.0,1181878.0
109,230,6,1,60.212471,-113.0,1007121.0
110,231,6,1,59.203527,-113.0,1305927.0
111,232,6,1,58.19222499999999,-113.0,1256275.0
112,233,6,1,57.182902,-113.0,993328.0
113,234,6,1,60.00805500000001,-113.0,1217432.0
114,235,6,1,58.99836000000001,-113.0,964870.0
115,236,6,1,59.493721,-113.0,798099.0
116,237,6,1,58.479694,-113.0,870282.0
117,2,5,1,3.420139,-111.0,1247274.0
118,3,5,1,2.411618,-111.0,1057489.0
119,4,6,1,1.403482,-111.0,895056.0
120,5,6,1,0.3989579999999999,-111.0,904278.0
121,6,6,3,0.09515700000000038,-111.0,898988.0
122,7,6,3,0.09515700000000038,-111.0,1080644.0
123,8,6,3,0.09515700000000038,-111.0,830087.0
124,9,6,3,0.09515700000000038,-111.0,944322.0
125,10,6,3,0.09515700000000038,-111.0,1293605.0
126,11,6,1,3.895004,-111.0,1006246.0
127,12,6,1,14.620919999999998,-111.0,838905.0
128,13,6,1,23.81133100000001,-111.0,1047749.0
129,14,6,1,22.800504,-111.0,836993.0
130,15,6,1,21.787546,-111.0,1091083.0
131,16,6,1,20.776688,-111.0,852054.0
132,17,6,1,19.770453000000003,-111.0,1278771.0
133,18,6,1,18.764685999999998,-111.0,939429.0
134,19,6,1,17.783987,-111.0,1391844.0
135,20,6,1,16.773547999999998,-111.0,802887.0
136,21,6,1,15.763720000000001,-111.0,1169333.0
137,22,6,1,14.751935000000001,-111.0,1019465.0
138,23,6,1,13.746685999999999,-111.0,1086842.0
139,24,6,1,12.736632,-111.0,727264.0
140,25,6,1,20.243063,-111.0,1324598.0
141,26,6,1,21.396729999999998,-111.0,1098848.0
142,27,6,1,20.391233,-111.0,1401962.0
143,28,6,1,19.379575,-111.0,1258721.0
144,29,6,1,18.373313,-111.0,1121058.0
145,30,6,1,17.363819,-111.0,873102.0
146,31,6,1,16.358725,-111.0,854176.0
147,32,6,1,20.685197,-111.0,1358246.0
148,33,6,1,19.678046,-111.0,873250.0
149,34,6,1,22.623274,-111.0,891949.0
150,35,6,1,22.996271,-111.0,994810.0
151,36,6,1,21.987256,-111.0,1102006.0
152,37,6,1,20.971482,-111.0,1134564.0
153,38,6,1,19.966383,-111.0,1423840.0
154,39,6,1,18.956616,-111.0,1213457.0
155,40,6,1,17.950322,-111.0,1198360.0
156,41,6,1,16.939562000000002,-111.0,1200140.0
157,42,6,1,15.930064000000002,-111.0,1050006.0
158,43,6,1,23.538625,-111.0,1371351.0
159,44,6,1,29.260293000000004,-111.0,795865.0
160,45,6,1,28.25025100000001,-111.0,1299355.0
161,46,6,1,27.237047000000004,-111.0,1194032.0
162,47,6,1,26.22037000000001,-111.0,947996.0
163,48,6,1,25.211308,-111.0,1164110.0
164,49,6,1,24.20228900000001,-111.0,1156728.0
165,50,6,1,23.190009000000003,-111.0,878948.0
166,51,6,1,22.184063,-111.0,959010.0
167,52,6,1,21.176085000000008,-111.0,742376.0
168,53,6,1,20.169768000000005,-111.0,1131137.0
169,54,6,1,32.42623700000001,-111.0,1052519.0
170,55,6,1,33.20756900000001,-111.0,1282069.0
171,56,6,1,32.194255000000005,-111.0,1327246.0
172,57,6,1,31.187079000000004,-111.0,771345.0
173,58,6,1,30.17676000000001,-111.0,1021327.0
174,59,6,1,29.169716000000008,-111.0,1322109.0
175,60,6,1,28.16221300000001,-111.0,1040084.0
176,61,6,1,35.36679400000001,-111.0,1323272.0
177,62,6,1,36.360613,-111.0,761705.0
178,63,6,1,35.35588900000001,-111.0,1303944.0
179,64,6,1,34.346979,-111.0,795986.0
180,65,6,1,33.33795300000001,-111.0,759829.0
181,66,6,1,32.327420000000004,-111.0,996594.0
182,67,6,1,31.316976999999994,-111.0,820452.0
183,68,6,1,30.309524999999994,-111.0,1293953.0
184,69,6,1,29.29748,-111.0,882305.0
185,70,6,1,28.290889,-111.0,1072204.0
186,71,6,1,38.04090600000001,-111.0,1195617.0
