,marker,resolution,playback_mode,buffer,rsrp,thput
0,248,4.0,1,8.741514,-112.0,216528.0
1,249,4.0,1,7.729083,-114.0,23596.0
2,250,4.0,1,9.423691,-97.0,224856.0
3,251,3.0,1,9.875393,-92.5,95772.0
4,252,3.0,1,8.865088,-102.5,108264.0
5,253,3.0,1,7.85217,-97.0,68012.0
6,254,3.0,1,11.217495,-92.5,79116.0
7,255,3.0,1,11.291064,-106.5,62460.0
8,256,3.0,1,10.278855,-95.5,70788.0
9,257,3.0,1,9.2649,-107.0,94384.0
10,258,3.0,1,8.252864,-102.5,48580.0
11,259,3.0,1,12.677253000000002,-94.5,76340.0
12,260,3.0,1,11.664221,-91.5,98548.0
13,261,4.0,1,10.650710000000002,-102.0,68012.0
14,262,4.0,1,15.007938000000001,-101.5,81892.0
15,263,4.0,1,13.99739,-87.0,69400.0
16,264,4.0,1,12.987533,-84.0,76340.0
17,265,4.0,1,11.977843,-93.5,81892.0
18,266,4.0,1,10.963704,-88.0,65236.0
19,267,4.0,1,9.9554,-77.5,74952.0
20,268,4.0,1,18.916229,-89.0,94384.0
21,269,4.0,1,17.901258999999996,-92.5,61072.0
22,270,4.0,1,17.593728000000006,-87.5,90220.0
23,271,4.0,1,16.585082999999994,-96.5,69400.0
24,272,4.0,1,15.576804999999998,-105.0,61072.0
25,273,4.0,1,14.563575,-95.0,31924.0
26,274,4.0,1,18.891274000000006,-83.0,84668.0
27,275,4.0,1,17.881314000000003,-87.5,113816.0
28,276,4.0,1,19.725712000000005,-95.0,80504.0
29,277,4.0,1,18.713224000000004,-98.0,84668.0
30,278,4.0,1,17.703374000000004,-98.0,74952.0
31,279,4.0,1,19.176951000000006,-93.5,70788.0
32,280,4.0,1,18.163563000000003,-93.5,70788.0
33,281,4.0,1,17.153346,-93.0,79116.0
34,282,4.0,1,16.139865,-85.5,81892.0
35,283,4.0,1,20.470714,-77.0,70788.0
36,284,4.0,1,22.739175,-77.0,69400.0
37,285,4.0,1,23.416473000000003,-73.0,58296.0
38,286,4.0,1,22.406722,-81.0,98548.0
39,287,4.0,1,21.395084,-83.5,80504.0
40,288,4.0,1,20.386668,-83.5,61072.0
41,289,4.0,1,19.379178000000003,-96.0,65236.0
42,290,4.0,1,18.369082000000002,-91.0,56908.0
43,291,4.0,1,17.356975,-99.5,122144.0
44,292,4.0,1,16.345204000000006,-99.0,76340.0
45,293,4.0,1,21.631863,-105.5,58296.0
46,294,4.0,1,20.621915999999988,-107.5,77728.0
47,295,4.0,1,31.629414000000004,-108.5,88832.0
48,296,4.0,1,30.616001000000004,-107.0,87444.0
49,297,4.0,1,29.60484700000001,-106.5,81892.0
50,298,4.0,1,28.593523000000005,-103.0,70788.0
51,299,4.0,1,29.36798700000001,-95.5,73564.0
52,300,4.0,1,28.35641100000001,-90.5,80504.0
53,301,4.0,1,27.342476000000005,-84.0,49968.0
54,302,4.0,1,26.330268000000004,-80.5,74952.0
55,303,4.0,1,25.316557000000003,-84.5,104100.0
56,304,4.0,1,24.30571200000001,-93.5,70788.0
57,305,4.0,1,23.29471000000001,-95.5,65236.0
58,306,4.0,1,22.281178000000004,-93.5,87444.0
59,307,4.0,1,21.268824000000013,-103.0,69400.0
60,308,4.0,1,20.258931000000004,-105.5,77728.0
61,309,4.0,1,19.247876000000005,-100.5,65236.0
62,310,4.0,1,18.239307000000004,-102.0,58296.0
63,311,4.0,1,17.225914000000003,-104.5,86056.0
64,312,4.0,1,16.214521000000005,-106.0,90220.0
65,313,4.0,1,15.207540000000007,-108.5,74952.0
66,314,4.0,1,30.890512,-111.5,79116.0
67,315,4.0,1,29.880422,-112.5,83280.0
68,316,4.0,1,28.86759199999999,-108.0,80504.0
69,317,4.0,1,39.377976,-103.0,72176.0
