,marker,resolution,playback_mode,buffer,rsrp,thput
0,239,5,1,17.537188,-109.0,534116.0
1,240,5,1,16.52519,-109.0,673684.0
2,241,4,1,15.618035999999998,-109.0,644160.0
3,242,4,1,26.381302,-109.0,609268.0
4,243,4,1,25.372764,-109.0,601216.0
5,244,4,1,24.360607,-109.0,625372.0
6,245,4,1,23.349207999999997,-109.0,603900.0
7,246,4,1,22.338886,-109.0,443888.0
8,247,4,1,21.325788000000006,-109.0,611952.0
9,248,4,1,20.313481000000003,-109.0,668316.0
10,249,4,1,39.302854,-109.0,606584.0
11,250,4,1,38.291584,-109.0,606584.0
12,251,4,1,37.279767,-109.0,684420.0
13,252,4,1,36.268763,-109.0,668316.0
14,253,4,1,35.257767,-109.0,634766.0
15,254,4,1,34.244592999999995,-109.0,586454.0
16,255,4,1,33.231219,-109.0,366052.0
17,256,4,1,33.604417,-109.0,664290.0
18,257,4,1,32.594405,-109.0,646844.0
19,258,4,1,60.20004700000001,-109.0,636108.0
20,259,4,1,59.18861,-109.0,609268.0
21,260,4,1,58.176541,-109.0,509960.0
22,261,4,1,57.16568600000001,-109.0,509960.0
23,262,4,1,56.15577400000001,-109.0,579744.0
24,263,4,1,55.142871,-109.0,595848.0
25,264,4,1,54.13410400000001,-109.0,316398.0
26,265,4,1,53.122539,-109.0,330132.0
27,266,4,1,52.10895100000001,-109.0,464332.0
28,267,4,1,51.095698999999996,-109.0,569008.0
29,268,4,1,50.084136,-109.0,558272.0
30,269,4,1,49.074119,-109.0,585112.0
31,270,4,1,48.06222500000001,-109.0,582428.0
32,271,4,1,47.05203100000001,-109.0,566324.0
33,272,4,1,76.03991200000002,-109.0,515328.0
34,273,4,1,75.02874200000002,-109.0,577060.0
35,274,4,1,74.01779400000002,-109.0,417048.0
36,275,4,1,73.00617199999998,-109.0,501908.0
37,276,4,1,71.993437,-109.0,654896.0
38,277,4,1,70.98062300000002,-109.0,646844.0
39,278,4,1,69.97100400000001,-109.0,681736.0
40,279,4,1,68.956788,-109.0,496540.0
41,280,4,1,67.94808700000002,-109.0,638792.0
42,281,4,1,66.93745899999999,-109.0,544852.0
43,282,4,1,65.923136,-109.0,756888.0
44,283,4,1,64.91047700000001,-109.0,307004.0
45,284,4,1,63.90005300000001,-109.0,618196.0
46,285,4,1,62.88798200000001,-109.0,716781.0
47,286,4,1,65.317801,-109.0,583760.0
48,287,4,1,64.30810699999999,-109.0,654151.0
49,288,4,1,89.85249200000001,-109.0,713946.0
50,289,4,1,88.84014200000001,-109.0,659045.0
51,290,4,1,87.828918,-109.0,673841.0
52,291,4,1,86.821031,-109.0,619081.0
53,292,4,1,85.81084100000002,-109.0,611018.0
54,293,4,1,84.80026000000002,-109.0,730148.0
55,294,4,1,83.78881100000002,-109.0,659567.0
56,295,4,1,82.77548200000003,-109.0,713109.0
57,296,4,1,81.764273,-109.0,690698.0
58,297,4,1,80.755156,-109.0,691232.0
59,298,4,1,79.74248600000001,-109.0,577588.0
60,299,4,1,78.729771,-109.0,635897.0
61,300,4,1,77.72090700000003,-109.0,737133.0
62,301,4,1,106.710279,-109.0,602857.0
63,302,4,1,105.697052,-109.0,749012.0
64,303,4,1,104.685526,-109.0,618232.0
65,304,4,1,103.675445,-109.0,669766.0
66,305,4,1,102.663503,-109.0,627503.0
67,306,4,1,101.65484599999999,-109.0,635712.0
68,307,4,1,100.641038,-109.0,677847.0
69,308,4,1,99.63122299999999,-109.0,692283.0
70,309,4,1,98.620218,-109.0,738706.0
71,310,4,1,97.608613,-109.0,644189.0
72,311,4,1,96.59559899999999,-109.0,730527.0
73,312,4,1,95.584611,-109.0,654444.0
74,313,4,1,94.575867,-109.0,627910.0
75,314,4,1,93.56438399999999,-109.0,754357.0
76,315,4,1,92.55503,-109.0,730150.0
77,316,4,1,91.541859,-109.0,697382.0
78,317,4,1,102.712061,-109.0,589920.0
79,318,4,1,101.697645,-109.0,677392.0
80,319,4,1,100.68595100000002,-109.0,646799.0
81,320,4,1,99.676649,-109.0,735267.0
82,321,4,1,98.66499499999999,-109.0,727332.0
83,322,4,1,115.476333,-109.0,592939.0
84,323,4,1,114.466752,-107.0,630209.0
85,324,4,1,113.45503400000001,-105.0,657378.0
86,325,4,1,112.442952,-107.0,728049.0
87,326,4,1,111.430535,-109.0,714199.0
88,327,4,1,110.421039,-109.0,609375.0
89,328,4,1,109.406136,-109.0,604594.0
90,329,4,1,108.397347,-109.0,586060.0
91,330,4,1,107.389704,-109.0,610512.0
92,331,4,1,124.095751,-109.0,689309.0
93,332,4,1,123.081353,-109.0,641841.0
94,333,4,1,122.072201,-109.0,628700.0
95,334,4,1,121.06039400000002,-109.0,585864.0
96,335,4,1,120.04822,-109.0,665670.0
97,336,4,1,121.32184099999999,-109.0,618439.0
98,337,4,1,120.310451,-109.0,734455.0
99,338,4,1,121.186832,-109.0,593412.0
100,339,4,1,120.17691599999999,-109.0,709440.0
101,340,4,1,119.163978,-109.0,694453.0
102,341,4,1,123.15866000000001,-109.0,655971.0
103,342,4,1,122.14758400000001,-109.0,673633.0
104,343,4,1,121.13518799999999,-109.0,732703.0
105,344,4,1,120.124563,-109.0,615139.0
106,345,4,1,119.11301100000001,-109.0,647183.0
107,346,4,1,121.213214,-109.0,733839.0
108,347,4,1,120.2041,-109.0,737207.0
109,348,4,1,119.191069,-109.0,671064.0
110,349,4,1,118.178384,-109.0,683552.0
111,350,4,1,117.168986,-109.0,717664.0
112,351,4,1,116.156457,-109.0,668096.0
113,352,4,1,115.144455,-109.0,700455.0
114,353,4,1,114.133636,-109.0,734354.0
115,354,4,1,113.122382,-109.0,638448.0
116,355,4,1,112.110933,-109.0,635033.0
117,356,4,1,111.099291,-109.0,644202.0
118,119,6,1,4.0231910000000015,-109.0,713430.0
119,120,6,1,17.74455,-109.0,714831.0
120,121,6,1,16.733171000000002,-109.0,669836.0
121,122,6,1,19.071138,-109.0,585628.0
122,123,6,1,18.06131,-109.0,719613.0
123,124,4,1,24.863119,-109.0,675546.0
124,125,4,1,23.852812,-109.0,623876.0
125,126,4,1,22.844595,-109.0,570286.0
126,127,4,1,21.834126,-109.0,737642.0
127,128,4,1,20.824123,-109.0,718189.0
128,129,4,1,19.813053000000004,-109.0,723904.0
129,130,4,1,38.808022,-109.0,690496.0
130,131,4,1,37.798693,-109.0,734458.0
131,132,4,1,36.788227,-109.0,746892.0
132,133,4,1,35.777398,-109.0,643783.0
133,134,4,1,34.76982,-109.0,596058.0
134,135,4,1,33.759353999999995,-109.0,648869.0
135,136,4,1,32.747704,-109.0,657436.0
136,137,4,1,31.733251,-109.0,726631.0
137,138,4,1,47.45819,-109.0,676966.0
138,139,4,1,46.448509,-109.0,748206.0
139,140,4,1,45.436443,-109.0,583399.0
140,141,4,1,44.425275,-109.0,730161.0
141,142,4,1,43.412205,-109.0,592640.0
142,143,4,1,42.403769,-109.0,646245.0
143,144,4,1,41.39174200000001,-109.0,638747.0
144,145,4,1,40.38051800000001,-109.0,598625.0
145,146,4,1,52.639555,-109.0,586390.0
146,147,4,1,51.627347,-109.0,728484.0
147,148,4,1,50.616213,-109.0,723898.0
148,149,4,1,49.60723,-109.0,690545.0
149,150,4,1,48.593666999999996,-109.0,598669.0
150,151,4,1,47.58294100000001,-109.0,699784.0
151,152,4,1,63.999914,-109.0,675134.0
152,153,4,1,62.987579,-109.0,625214.0
153,154,4,1,67.313357,-109.0,680437.0
154,155,4,1,66.30533100000001,-109.0,640589.0
155,156,4,1,65.29481000000001,-109.0,711331.0
156,157,4,1,64.283051,-109.0,705120.0
157,158,4,1,63.27285200000001,-109.0,725965.0
158,159,4,1,67.60119900000001,-109.0,571354.0
159,160,4,1,66.59442,-109.0,570157.0
160,161,4,1,65.58545500000001,-109.0,622159.0
161,162,4,1,64.57244,-109.0,616369.0
162,163,4,1,63.5637,-109.0,610300.0
163,164,4,1,62.553099,-109.0,578662.0
164,165,4,1,63.43511400000001,-109.0,630889.0
165,166,4,1,62.42569700000001,-109.0,578264.0
166,167,4,1,64.86102199999999,-109.0,748332.0
167,168,4,1,63.851283,-109.0,661936.0
168,169,4,1,62.840384,-109.0,611486.0
169,170,4,1,67.166989,-109.0,743245.0
170,171,4,1,66.15791800000001,-109.0,669426.0
171,172,4,1,65.14558000000001,-109.0,697582.0
172,173,4,1,64.1363,-109.0,588331.0
173,174,4,1,63.124948,-109.0,719545.0
174,175,4,1,67.574359,-109.0,622735.0
175,176,4,1,66.562516,-109.0,713385.0
176,177,4,1,65.55293900000001,-109.0,630765.0
177,178,4,1,64.540602,-109.0,719760.0
178,179,4,1,63.526541,-109.0,655429.0
179,180,4,1,62.516527,-109.0,706375.0
180,181,4,1,61.505708999999996,-109.0,659219.0
181,182,4,1,65.49975500000001,-109.0,648028.0
182,183,4,1,64.49214699999999,-109.0,578780.0
183,184,4,1,63.47774899999999,-109.0,638185.0
184,185,4,1,62.46637899999999,-109.0,746235.0
185,186,4,1,66.91995000000001,-109.0,657237.0
186,187,4,1,65.90992700000001,-109.0,641214.0
187,188,4,1,64.89716900000002,-109.0,673988.0
188,189,4,1,63.88733800000002,-109.0,751867.0
189,190,4,1,62.87726900000001,-109.0,580010.0
190,191,4,1,61.86486700000002,-109.0,606461.0
191,192,4,1,66.27885500000001,-109.0,664759.0
192,193,4,1,65.26585000000001,-109.0,653127.0
193,194,4,1,64.254552,-109.0,629934.0
194,195,4,1,63.24531900000001,-109.0,613114.0
195,196,4,1,62.23276600000001,-109.0,617032.0
196,197,4,1,66.562177,-109.0,692530.0
197,198,4,1,65.55405100000002,-109.0,653544.0
198,199,4,1,64.54383600000001,-109.0,698182.0
